NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
LAKE MICHIGAN COLLEGE,2755 EAST NAPIER AVENUE,BENTON HARBOR,MI,49022,3885,BERRIEN,26021,USA,42.0972757,-86.39344539
CAPITAL UNIVERSITY,1 COLLEGE AND MAIN,COLUMBUS,OH,43209,4085,FRANKLIN,39049,USA,39.95487465,-82.93786739
COLUMBUS COLLEGE OF ART AND DESIGN,60 CLEVELAND AVE.,COLUMBUS,OH,43215,1403,FRANKLIN,39049,USA,39.9647293,-82.98987058
FRANKLIN UNIVERSITY,201 S GRANT AVE,COLUMBUS,OH,43215,5751,FRANKLIN,39049,USA,39.95814461,-82.99133909
MIAMI-JACOBS CAREER COLLEGE-DAYTON,401 E. THIRD STREET,DAYTON,OH,45402,19,MONTGOMERY,39113,USA,39.76220761,-84.18643749
MIAMI VALLEY CAREER TECHNOLOGY CENTER,6800 HOKE RD,ENGLEWOOD,OH,45315,451,MONTGOMERY,39113,USA,39.845377,-84.32895079
NORTHERN INSTITUTE OF COSMETOLOGY,669 BROADWAY,LORAIN,OH,44052,29,LORAIN,39093,USA,41.46520034,-82.17428525
OHIO NORTHERN UNIVERSITY,525 S. MAIN ST,ADA,OH,45810,3746,HARDIN,39065,USA,40.76629882,-83.83058646
PONTIFICAL COLLEGE JOSEPHINUM,7625 N HIGH STREET,COLUMBUS,OH,43235,234,FRANKLIN,39049,USA,40.12010415,-83.01866898
RABBINICAL COLLEGE TELSHE,28400 EUCLID AVE,WICKLIFFE,OH,44092,86,LAKE,39085,USA,41.59353252,-81.48526079
UNIVERSITY OF TOLEDO,2801 W BANCROFT,TOLEDO,OH,43606,24052,LUCAS,39095,USA,41.6572464,-83.61593552
TRINITY LUTHERAN SEMINARY,2199 E MAIN STREET,COLUMBUS,OH,43209,122,FRANKLIN,39049,USA,39.95776919,-82.94050953
LANE COMMUNITY COLLEGE,4000 E 30TH AVE,EUGENE,OR,97405,8518,LANE,41039,USA,44.01003742,-123.0335821
LINN-BENTON COMMUNITY COLLEGE,6500 PACIFIC BLVD SW,ALBANY,OR,97321,6729,LINN,41043,USA,44.58766268,-123.1140302
MT HOOD COMMUNITY COLLEGE,26000 SE STARK ST,GRESHAM,OR,97030,9624,MULTNOMAH,41051,USA,45.51211431,-122.396467
MULTNOMAH UNIVERSITY,8435 NE GLISAN ST,PORTLAND,OR,97220,882,MULTNOMAH,41051,USA,45.52766093,-122.5756535
UNIVERSITY OF PORTLAND,5000 N WILLAMETTE BLVD,PORTLAND,OR,97203,5435,MULTNOMAH,41051,USA,45.57196701,-122.7259723
REED COLLEGE,3203 SE WOODSTOCK BLVD,PORTLAND,OR,97202,2038,MULTNOMAH,41051,USA,45.48095914,-122.6303479
WARNER PACIFIC COLLEGE,2219 SE 68TH AVE,PORTLAND,OR,97215,586,MULTNOMAH,41051,USA,45.50626467,-122.5924985
WILLAMETTE UNIVERSITY,900 STATE ST,SALEM,OR,97301,3240,MARION,41047,USA,44.93545702,-123.0305366
COMMUNITY COLLEGE OF ALLEGHENY COUNTY,800 ALLEGHENY AVE,PITTSBURGH,PA,15233,17997,ALLEGHENY,42003,USA,40.44936795,-80.0139369
BIDWELL TRAINING CENTER INC,1815 METROPOLITAN ST,PITTSBURGH,PA,15233,198,ALLEGHENY,42003,USA,40.45735226,-80.032471
CEDAR CREST COLLEGE,100 COLLEGE DRIVE,ALLENTOWN,PA,18104,2090,LEHIGH,42077,USA,40.58690929,-75.520004
